Desemprego,Inflacao,Presidente,Ano
5.6,1620,Collor,1991
5.3,472,Itamar,1992
6.4,1119,Itamar,1993
5.9,2477,Itamar,1994
4.7,916,Itamar,1995
5.5,22.41,FHC,1996
5.5,9.56,FHC,1997
7.9,5.22,FHC,1998
8.5,1.66,FHC,1999
8.5,8.94,FHC,2000
6.4,5.97,FHC,2001
7.5,7.67,FHC,2002
11.2,12.53,Lula,2003
11.7,9.3,Lula,2004
10.2,7.6,Lula,2005
9.3,5.69,Lula,2006
9.3,3.14,Lula,2007
8,4.45,Lula,2008
8.2,5.9,Lula,2009
7.2,4.31,Lula,2010
6.1,5.9,Lula,2011
5.5,6.5,Dilma,2012
5.4,5.84,Dilma,2013
4.8,5.91,Dilma,2014
5.3,6.41,Dilma,2015
7.6,10.67,Dilma,2016
